empresa,anio_iso,semana_iso,Fecha,periodo_m,tc_prom_mes,cpm_GADS,invest_GADS,Índice Estimador Mensual de Actividad Económica,IPC Prendas de vestir y calzado,Tasa de desocupación abierta,Índice de Confianza del Consumidor,invest_total_paid,evt_Dia de la Madre,Brecha Cambiaria (%),revenue_GADS,evt_Carnaval,bounce_rate_GA,evt_Navidad,average_sessions_durations_GA,Variación IPC (%) General,transactions_GADS,Índice Ventas en Supermercados y Shoppings,ticket_est_m,Ticket_promedio_num,evt_San Valentin,Variación Ventas en Supermercados y Shoppings,evt_Cyber Monday,evt_Hot Sale,evt_Dia del Padre,impressions_GADS,Variación Estimador Mensual de Actividad Económica,cpm_META,Costo_fijo_num,impressions_META,Margen_pct,evt_Semana Santa,evt_Black Friday,invest_META,ticket_usd,revenue_META,Salario real,transactions_GA,Ticket_promedio_usd,Costo_fijo_usd,ticket_est_usd,invest_META_usd,invest_GADS_usd,revenue_META_usd,revenue_GADS_usd,ticket_usd_original,invest_META_pesos,invest_GADS_pesos,revenue_META_pesos,revenue_GADS_pesos
MIDWAY,2024,11,2024-03-11,2024-03-01,1008.2258064516128,,,142.8,10.9,7.7,36.68,298.62258684950774,0,18.266,,0,,0,,11.0,0.0,80.3,63764.12534176326,94564.14,0,-0.4,0,0,0,0.0,-0.6,0.3595103358621248,,830637.0,,0,0,298.62258684950774,93.79262006079028,1982.4758953352089,13.63,0.0,93.79262006079028,,63.243893316098585,298.62258684950774,,1982.4758953352089,,93.79262006079028,298.62258684950774,,1982.4758953352089,
MIDWAY,2024,12,2024-03-18,2024-03-01,1008.2258064516128,,,142.8,10.9,7.7,36.68,246.2346574074074,0,18.266,,0,,0,,11.0,0.0,80.3,63764.12534176326,94564.14,0,-0.4,0,0,0,0.0,-0.6,0.3479168302023446,,707740.0,,0,0,246.2346574074074,93.79262006079028,2214.221055555556,13.63,0.0,93.79262006079028,,63.243893316098585,246.2346574074074,,2214.221055555556,,93.79262006079028,246.2346574074074,,2214.221055555556,
MIDWAY,2024,13,2024-03-25,2024-03-01,1008.2258064516128,,,142.8,10.9,7.7,36.68,158.3619351851852,0,18.266,,0,,0,,11.0,0.0,80.3,63764.12534176326,94564.14,0,-0.4,0,0,0,0.0,-0.6,0.3463582852569555,,457220.0,,1,0,158.3619351851852,93.79262006079028,2060.087203703704,13.63,0.0,93.79262006079028,,63.243893316098585,158.3619351851852,,2060.087203703704,,93.79262006079028,158.3619351851852,,2060.087203703704,
MIDWAY,2024,14,2024-04-01,2024-04-01,1007.8333333333334,,,141.0,9.6,7.6,37.17,154.95261226405495,0,16.25,,0,,0,,8.8,0.0,80.9,67643.25589567864,94564.14,0,0.7,0,0,0,0.0,-1.3,0.4066122573725732,,381082.0,,0,0,154.95261226405495,93.82914503059368,3152.383088265644,13.8,0.0,93.82914503059368,,67.11750212900145,154.95261226405495,,3152.383088265644,,93.82914503059368,154.95261226405495,,3152.383088265644,
MIDWAY,2024,15,2024-04-08,2024-04-01,1007.8333333333334,,,141.0,9.6,7.6,37.17,174.72890943665945,0,16.25,,0,,0,,8.8,0.0,80.9,67643.25589567864,94564.14,0,0.7,0,0,0,0.0,-1.3,0.5803038516788812,,301099.0,,0,0,174.72890943665945,93.82914503059368,1496.3269328995916,13.8,0.0,93.82914503059368,,67.11750212900145,174.72890943665945,,1496.3269328995916,,93.82914503059368,174.72890943665945,,1496.3269328995916,
MIDWAY,2024,16,2024-04-15,2024-04-01,1007.8333333333334,,,141.0,9.6,7.6,37.17,303.8959158878505,0,16.25,,0,,0,,8.8,0.0,80.9,67643.25589567864,94564.14,0,0.7,0,0,0,0.0,-1.3,0.5075234657819548,,598782.0,,0,0,303.8959158878505,93.82914503059368,2964.367476635514,13.8,0.0,93.82914503059368,,67.11750212900145,303.8959158878505,,2964.367476635514,,93.82914503059368,303.8959158878505,,2964.367476635514,
MIDWAY,2024,17,2024-04-22,2024-04-01,1007.8333333333334,,,141.0,9.6,7.6,37.17,444.8708598130841,0,16.25,,0,,0,,8.8,0.0,80.9,67643.25589567864,94564.14,0,0.7,0,0,0,0.0,-1.3,0.4440608927447178,,1001824.0,,0,0,444.8708598130841,93.82914503059368,3659.557476635514,13.8,0.0,93.82914503059368,,67.11750212900145,444.8708598130841,,3659.557476635514,,93.82914503059368,444.8708598130841,,3659.557476635514,
MIDWAY,2024,18,2024-04-29,2024-04-01,1007.8333333333334,,,141.0,9.6,7.6,37.17,515.1534784576045,0,16.25,,0,,0,,8.8,0.0,80.9,67643.25589567864,94564.14,0,0.7,0,0,0,0.0,-1.3,0.5673983871495618,,907922.0,,0,0,515.1534784576045,93.82914503059368,7672.501232786085,13.8,0.0,93.82914503059368,,67.11750212900145,515.1534784576045,,7672.501232786085,,93.82914503059368,515.1534784576045,,7672.501232786085,
MIDWAY,2024,19,2024-05-06,2024-05-01,1115.483870967742,,,142.6,3.5,7.6,38.3,266.2316574661352,0,26.583,,0,,0,,4.2,0.0,81.4,69765.67840340907,94564.14,0,0.7,0,0,0,0.0,1.1,0.5605762119621733,,474925.0,,0,0,266.2316574661352,84.7740989010989,4743.207993476285,14.34,0.0,84.7740989010989,,62.54297369883404,266.2316574661352,,4743.207993476285,,84.7740989010989,266.2316574661352,,4743.207993476285,
MIDWAY,2024,20,2024-05-13,2024-05-01,1115.483870967742,,,142.6,3.5,7.6,38.3,809.8964541062802,0,26.583,,0,,0,,4.2,0.0,81.4,69765.67840340907,94564.14,0,0.7,0,1,0,0.0,1.1,1.2903672984001864,,627648.0,,0,0,809.8964541062802,84.7740989010989,19604.59733333333,14.34,0.0,84.7740989010989,,62.54297369883404,809.8964541062802,,19604.59733333333,,84.7740989010989,809.8964541062802,,19604.59733333333,
